Row ID,Geography ID,Name,Variable Code,Variable,Value,Variable Unit,Date,Location
19001_1997_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,176744,Thousands of dollars,12/31/1997,POINT (-94.478164 41.328528)
19001_1998_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,185247,Thousands of dollars,12/31/1998,POINT (-94.478164 41.328528)
19001_1999_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,191102,Thousands of dollars,12/31/1999,POINT (-94.478164 41.328528)
19001_2000_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,212406,Thousands of dollars,12/31/2000,POINT (-94.478164 41.328528)
19001_2002_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,220175,Thousands of dollars,12/31/2002,POINT (-94.478164 41.328528)
19001_2003_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,217069,Thousands of dollars,12/31/2003,POINT (-94.478164 41.328528)
19001_2004_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,249002,Thousands of dollars,12/31/2004,POINT (-94.478164 41.328528)
19001_2005_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,229972,Thousands of dollars,12/31/2005,POINT (-94.478164 41.328528)
19001_2006_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,238261,Thousands of dollars,12/31/2006,POINT (-94.478164 41.328528)
19001_2007_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,253661,Thousands of dollars,12/31/2007,POINT (-94.478164 41.328528)
19001_2008_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,290534,Thousands of dollars,12/31/2008,POINT (-94.478164 41.328528)
19001_2009_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,272441,Thousands of dollars,12/31/2009,POINT (-94.478164 41.328528)
19001_2010_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,270578,Thousands of dollars,12/31/2010,POINT (-94.478164 41.328528)
19001_2011_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,308911,Thousands of dollars,12/31/2011,POINT (-94.478164 41.328528)
19001_2012_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,314351,Thousands of dollars,12/31/2012,POINT (-94.478164 41.328528)
19001_2013_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,336545,Thousands of dollars,12/31/2013,POINT (-94.478164 41.328528)
19001_2014_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,334362,Thousands of dollars,12/31/2014,POINT (-94.478164 41.328528)
19001_2015_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,339241,Thousands of dollars,12/31/2015,POINT (-94.478164 41.328528)
19001_2016_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,333864,Thousands of dollars,12/31/2016,POINT (-94.478164 41.328528)
19001_2017_CAINC1-1_annual,19001,"Adair, IA",CAINC1-1,Personal income,338235,Thousands of dollars,12/31/2017,POINT (-94.478164 41.328528)
19003_1997_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,97930,Thousands of dollars,12/31/1997,POINT (-94.696906 41.021656)
19003_1998_CAINC1-1_annual,19003,"Adams, IA",CAINC1-1,Personal income,101828,Thousands of dollars,12/31/1998,POINT (-94.696906 41.021656)
