County,Month-Year,Pack,State Bottle Retail,Population,Volume Sold (Gallons) Per Capita,Income Per Capita,Precincts,Votes,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,At Least High School Diploma,At Least Bachelors's Degree,School Enrollment,Median Earnings 2010,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,White,Black,Hispanic,Asian,Amerindian,Other,Median Age,Teen.births,Sexually.transmitted.infections,Unemployment,Violent.crime
adair,01-2012,354,368.99999999999994,7468,0.00909212640599893,42093,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,02-2012,395,524.48,7468,0.009487145152651316,42093,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,03-2012,320,284.22999999999996,7468,0.005108462774504553,42093,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,04-2012,510,458.76,7468,0.00985940010712373,42093,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,05-2012,430,587.5999999999999,7468,0.010931976432779864,42093,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,06-2012,508,555.4600000000002,7468,0.010207552222817357,42093,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,07-2012,436,500.79,7468,0.009708087841456884,42093,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,08-2012,312,365.90000000000003,7468,0.006969737546866631,42093,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,09-2012,352,433.01,7468,0.00827396893411891,42093,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,10-2012,450,484.1,7468,0.015886448848419922,42093,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,11-2012,434,564.8300000000002,7468,0.012060792715586506,42093,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,12-2012,342,377.21000000000004,7468,0.007454472415640067,42093,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,01-2013,270,298.49,7387,0.005766887775822391,45559,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,02-2013,378,472.55000000000007,7387,0.00889806416677948,45559,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,03-2013,350,412.34000000000003,7387,0.00859347502369027,45559,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,04-2013,390,416.8700000000001,7387,0.009650737782591044,45559,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,05-2013,252,291.46000000000004,7387,0.007071883037769055,45559,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,06-2013,420,518.8100000000002,7387,0.009955326925680252,45559,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,07-2013,552,677.5100000000001,7387,0.014402328414782723,45559,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,08-2013,372,507.8400000000001,7387,0.008571815351292818,45559,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,09-2013,366,360.5,7387,0.006289427372410991,45559,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,10-2013,270,463.11000000000007,7387,0.007031271152023828,45559,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,11-2013,300,366.69,7387,0.012115879247326385,45559,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,12-2013,598,800.7800000000001,7387,0.016627859753621223,45559,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,01-2014,406,475.86,7368,0.01039359391965255,45386,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
adair,02-2014,288,311.37,7368,0.006860749185667753,45386,6.0,3759.0,65.3365256717212,29.981378026070768,0.34583665868582003,3.32535248736366,91.4,13.6,75.35,28412.52508,22.95,12.2,49.2,10.95,98.0,0.05,0.95,0.25,0.1,0.65,44.8,26.4,146.1,0.042,48.19
